OBJECTID,LAND,BEZ,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
210384,11,8,8200832,2021,1,5,3,3,6,2,2,0,0,1,0,0,1,1,800637,5972,5816188,605
210383,11,6,6300634,2021,3,15,5,3,5,2,0,0,1,0,0,0,0,0,792939,726,5817768,685
210382,11,9,9200715,2021,1,17,6,3,5,3,2,0,1,0,0,0,0,1,808559,981,5818331,457
210381,11,11,11200411,2021,3,14,1,3,5,2,0,0,1,0,0,0,0,0,805717,436,5831376,826
210380,11,10,10400837,2021,3,13,2,3,5,3,0,1,1,0,0,0,0,0,809998,3682,5824357,137
210379,11,3,3200205,2021,1,14,3,2,5,3,0,0,1,0,0,0,0,1,797879,4557,5836017,544
210378,11,12,12500824,2021,1,13,4,2,1,5,0,0,1,0,0,0,0,1,791399,6769,5836556,259
210377,11,1,1300834,2021,2,16,1,3,2,6,0,0,1,0,0,0,0,0,797714,4126,5830668,348
210376,11,3,3500935,2021,3,15,2,3,6,6,0,1,0,1,0,0,0,0,801698,3821,5831372,677
210375,11,2,2400623,2021,1,16,5,3,2,6,0,0,1,0,0,0,0,1,800323,6345,5827720,972
210374,11,3,3601243,2021,3,20,3,2,5,3,2,0,1,0,0,0,0,0,799767,6968,5831418,234
210373,11,4,4501040,2021,1,8,4,3,5,2,0,1,1,0,0,0,0,1,792696,1814,5825474,236
210372,11,9,9100306,2021,2,5,6,3,6,2,2,0,1,1,0,0,0,1,804024,2995,5821201,652
210371,11,6,6300632,2021,3,16,2,2,6,4,0,0,1,1,0,0,0,0,792687,7764,5817352,315
210370,11,3,3400829,2021,1,13,4,3,5,3,0,1,1,0,0,0,0,1,799683,4523,5832692,365
210369,11,10,10400837,2021,3,9,4,3,0,3,0,1,1,0,0,0,0,0,810171,8628,5825516,327
210368,11,11,11401137,2021,2,21,2,2,0,7,2,0,1,0,0,0,0,0,806784,2168,5826590,537
210367,11,9,9200715,2021,1,16,5,3,5,2,1,1,0,0,0,0,1,0,808327,5654,5818866,563
210366,11,2,2500833,2021,1,19,5,3,0,1,2,1,0,0,0,0,0,1,802596,129,5827012,188
210365,11,1,1200623,2021,3,15,6,3,1,5,0,1,0,0,0,0,1,0,795257,4243,5828794,245
210364,11,11,11501339,2021,2,16,2,3,5,3,0,1,1,0,0,0,0,0,806064,5274,5825132,863
210363,11,1,1100206,2021,3,15,3,3,3,6,0,1,1,0,0,0,0,0,798182,1874,5827537,797
210362,11,5,5200629,2021,3,18,5,2,6,4,2,0,0,1,0,0,1,1,784706,1565,5828587,869
210361,11,10,10100311,2021,2,7,3,3,5,2,0,0,1,0,0,0,1,2,806476,6233,5829741,658
210360,11,2,2100102,2021,3,15,3,2,1,5,0,1,1,0,0,0,1,0,798347,7274,5826263,83
210359,11,5,5200423,2021,1,17,7,3,5,2,2,0,1,0,0,0,0,1,780873,7645,5828324,703
210358,11,9,9200715,2021,2,6,5,2,5,3,2,0,1,0,0,0,1,1,808813,7946,5818997,791
210357,11,9,9200511,2021,2,14,5,3,1,5,0,0,1,0,0,0,1,1,806985,6382,5821945,815
210356,11,11,11200512,2021,3,20,7,3,5,2,2,0,1,0,0,0,1,0,802872,9425,5831238,245
210355,11,6,6100205,2021,2,12,4,3,0,2,0,1,1,0,0,0,0,0,795349,9968,5819991,137
210354,11,8,8100206,2021,1,16,6,3,3,6,0,1,1,0,0,0,0,0,800967,334,5823524,697
210353,11,12,12601134,2021,3,13,6,2,6,4,0,0,1,1,0,0,0,0,794068,57,5836543,57
210352,11,3,3200207,2021,1,19,6,2,6,4,2,0,1,1,0,0,0,1,800067,5331,5835822,392
210351,11,5,5100316,2021,3,21,7,3,3,6,2,0,1,0,0,0,0,1,784819,6361,5829070,961
210350,11,12,12601235,2021,3,8,2,3,5,2,0,0,1,0,0,0,1,0,794624,6151,5836268,397
210349,11,7,7601442,2021,2,14,5,3,0,5,0,0,1,0,0,0,0,0,799399,1518,5814365,625
210348,11,4,4501150,2021,1,10,6,3,6,7,0,0,1,1,0,0,0,1,793906,8354,5824030,9
210347,11,8,8300935,2021,1,14,1,3,6,4,0,0,1,1,0,0,0,0,802667,8377,5818093,624
210346,11,12,12601235,2021,3,5,3,2,2,7,2,0,1,0,0,0,1,1,794481,742,5836247,189
210345,11,9,9200510,2021,3,17,4,3,5,2,0,1,1,0,0,0,0,0,806599,8004,5822782,188
210344,11,10,10100205,2021,2,7,3,3,5,3,0,0,1,0,0,0,0,2,808402,4386,5833052,18
210343,11,4,4500939,2021,3,16,3,3,5,3,0,1,1,0,0,0,0,0,792336,2679,5824093,226
210342,11,1,1100308,2021,1,7,6,3,6,4,2,0,1,1,0,0,0,0,796649,434,5829049,899
210341,11,7,7400825,2021,2,14,2,3,6,2,0,0,1,1,0,0,0,2,797809,942,5821044,332
210340,11,3,3701555,2021,2,14,5,3,6,4,0,1,1,1,0,0,0,1,799684,349,5830034,991
210339,11,11,11400930,2021,3,10,7,2,5,3,0,0,1,0,0,0,0,0,805904,2557,5826550,331
210338,11,1,1200623,2021,2,15,4,3,2,6,0,0,1,0,0,0,0,0,795278,4987,5829389,32
210337,11,4,4300623,2021,1,18,7,3,1,5,2,1,1,0,0,0,0,1,792358,992,5826028,905
210336,11,8,8100415,2021,3,17,4,2,5,2,1,0,1,0,0,0,1,0,801998,7026,5823298,5
210335,11,3,3400829,2021,3,16,5,3,5,3,0,0,1,0,0,0,0,1,799768,6003,5832816,962
210334,11,6,6300631,2021,2,16,6,3,5,3,1,1,1,0,0,0,0,1,792324,8704,5816603,275
210333,11,1,1100309,2021,3,21,7,2,5,3,2,1,0,0,0,0,0,1,798126,7,5828963,615
210332,11,8,8200725,2021,2,15,7,3,5,3,0,0,1,0,0,0,0,0,799911,3691,5819067,28
210331,11,8,8401241,2021,1,12,2,3,5,7,0,0,1,0,0,1,0,1,804348,482,5819096,397
210330,11,4,4500938,2021,1,7,2,3,1,5,2,1,1,0,0,0,0,1,791580,9614,5825004,674
210329,11,1,1300733,2021,1,16,3,2,0,2,1,0,1,0,1,0,0,1,797353,4982,5831201,537
210328,11,4,4200207,2021,1,14,5,3,5,2,0,1,0,0,0,0,0,1,788474,5169,5825176,805
210327,11,6,6300526,2021,3,16,3,3,5,3,0,0,1,0,0,0,0,0,788367,992,5817753,792
210326,11,9,9401329,2021,1,12,3,3,5,3,0,1,0,0,0,1,0,1,811548,273,5818933,783
210325,11,7,7300619,2021,2,12,2,3,5,2,0,0,1,0,0,0,0,2,795392,9711,5821007,642
210324,11,2,2100104,2021,2,8,5,3,0,1,0,0,0,0,1,0,0,1,798953,2508,5826344,742
210323,11,7,7400823,2021,1,13,2,3,3,6,0,0,1,0,0,0,0,0,797289,7441,5821226,553
210322,11,10,10400835,2021,3,19,5,3,5,3,2,0,1,0,0,0,0,0,812422,3193,5829384,261
210321,11,2,2400623,2021,1,17,1,3,1,5,2,1,1,0,0,0,0,1,800898,3692,5826940,841
210320,11,4,4501042,2021,3,13,2,3,1,5,0,0,1,0,0,0,0,0,793517,7443,5825549,37
210319,11,8,8200832,2021,1,18,3,3,6,2,2,0,1,1,0,0,0,1,801021,3403,5817079,19
210318,11,6,6200316,2021,1,16,3,3,2,6,1,0,1,0,0,0,0,0,795998,4224,5817704,698
210317,11,4,4400727,2021,2,8,2,3,6,4,0,0,0,1,0,0,1,0,791378,8934,5824265,691
210316,11,1,1100308,2021,3,13,3,3,0,7,0,0,1,0,0,0,1,0,797609,8673,5828365,603
210315,11,12,12200310,2021,3,15,5,3,6,4,0,0,0,1,0,0,1,1,792245,1414,5833320,58
210314,11,1,1300732,2021,1,8,4,3,5,2,0,1,1,0,0,0,0,0,797588,1029,5832768,797
210313,11,1,1200624,2021,2,14,6,3,2,6,0,0,1,0,0,0,1,1,795658,4184,5829732,916
210312,11,7,7601340,2021,3,16,2,3,2,3,0,1,1,0,0,0,0,0,796532,6273,5815645,34
210311,11,4,4300416,2021,1,4,3,3,9,1,2,0,1,0,0,0,0,1,791404,3789,5826085,216
210310,11,4,4400830,2021,3,5,5,3,1,5,2,1,0,0,0,0,1,0,792322,9255,5823123,865
210309,11,8,8401241,2021,2,15,3,3,2,6,0,0,1,0,0,0,0,1,804797,402,5817837,957
210308,11,1,1300836,2021,1,8,5,2,3,6,0,1,0,0,0,0,1,0,796972,8233,5831473,33
210307,11,1,1401045,2021,1,9,5,3,2,6,0,0,1,0,0,1,0,1,796701,7575,5831920,195
210306,11,2,2400521,2021,3,11,5,3,5,2,0,1,1,0,0,0,0,0,801250,9859,5827845,583
210305,11,2,2200209,2021,2,13,2,3,5,2,0,0,1,0,1,0,0,0,796910,6563,5824296,646
210304,11,7,7501134,2021,3,12,4,2,6,4,0,0,1,1,0,0,0,1,799281,6041,5817627,918
210303,11,9,9200715,2021,3,9,5,3,5,2,0,0,1,0,0,0,0,0,808643,3584,5819165,301
210302,11,6,6200313,2021,2,6,4,2,6,2,2,0,1,1,0,0,0,1,795347,9998,5818440,847
210301,11,12,12200412,2021,3,13,2,3,5,7,0,0,1,0,0,0,0,0,788636,8984,5833095,233
210300,11,6,6100102,2021,1,17,5,2,5,2,2,0,1,0,0,0,0,1,793647,6117,5820593,207
210299,11,1,1200518,2021,2,13,5,3,5,2,0,1,1,0,0,0,0,1,793431,4977,5828526,88
210298,11,2,2500833,2021,1,9,5,3,0,1,0,0,0,0,1,0,0,1,802458,29,5827055,745
210297,11,2,2300316,2021,3,17,6,3,5,2,0,1,1,0,0,0,0,0,800700,3395,5826552,211
210296,11,7,7601238,2021,2,7,4,3,2,6,0,0,1,0,0,0,0,0,797680,8939,5817273,162
210295,11,4,4100102,2021,1,16,6,3,0,7,1,1,0,0,0,0,0,1,791127,7118,5829152,424
210294,11,4,4501149,2021,3,13,6,3,5,2,0,1,1,0,0,0,0,0,793465,21,5824499,503
210293,11,8,8100311,2021,1,21,6,3,1,5,2,1,1,0,0,0,0,1,800695,6899,5824359,707
210292,11,3,3400827,2021,3,19,6,2,2,5,2,1,1,0,0,0,0,0,799172,5147,5832457,15
210291,11,8,8100209,2021,2,18,6,3,0,7,2,0,1,0,0,0,0,0,801811,873,5821965,232
210290,11,11,11300721,2021,1,0,7,3,0,1,2,1,0,0,0,0,0,0,805052,6253,5829100,798
210289,11,5,5100209,2021,1,18,2,3,5,2,2,0,1,0,0,0,0,1,783691,3843,5830170,573
210288,11,3,3601142,2021,1,10,3,2,6,4,0,1,0,1,0,0,0,0,798732,9707,5830327,74
210287,11,9,9100407,2021,2,10,6,3,6,4,0,0,1,1,0,0,0,0,805615,9296,5819682,643
210286,11,7,7200409,2021,3,4,1,3,1,1,2,0,1,0,0,0,0,0,795177,864,5824367,973
210285,11,1,1100309,2021,2,13,2,3,2,6,0,0,1,0,0,0,0,2,798068,353,5828936,66
210284,11,4,4500937,2021,2,16,5,3,2,6,0,0,1,0,0,0,0,0,791469,7825,5825060,96
210283,11,5,5200527,2021,1,17,2,1,6,4,2,0,1,1,0,0,0,0,783187,9829,5827502,959
210282,11,1,1401046,2021,3,12,4,3,5,2,0,0,1,0,0,0,0,0,794616,9598,5829881,925
210281,11,4,4300623,2021,1,1,7,3,0,4,2,0,1,1,0,0,0,2,792726,1893,5826122,625
210280,11,12,12400617,2021,2,17,6,2,5,3,2,1,1,0,0,0,0,1,785956,5297,5837001,543
210279,11,2,2400623,2021,1,11,3,3,5,3,0,1,1,0,0,0,0,1,801242,4196,5827686,705
210278,11,4,4300517,2021,1,19,3,3,6,2,2,0,1,1,0,0,0,1,791482,8917,5828283,193
210277,11,4,4300619,2021,2,19,2,3,5,2,2,1,1,0,0,0,0,0,791780,9285,5827465,256
210276,11,4,4501042,2021,3,10,2,2,3,5,0,1,1,0,0,0,0,0,794341,4057,5825624,502
210275,11,4,4300416,2021,3,13,4,3,5,7,0,1,1,0,0,0,0,0,791596,98,5826097,691
210274,11,1,1200522,2021,1,10,3,3,5,3,0,1,1,0,0,0,0,1,794219,46,5828307,448
210273,11,6,6400737,2021,2,13,7,3,0,6,0,1,0,0,0,0,1,0,785418,2688,5818372,444
210272,11,11,11300721,2021,3,17,3,3,0,1,0,0,0,0,1,0,0,0,805165,62,5829789,449
210271,11,1,1100102,2021,1,11,3,3,2,6,0,0,1,0,0,0,1,0,796630,4979,5826687,258
210270,11,1,1400938,2021,2,10,4,3,6,4,0,0,1,1,0,0,0,2,793779,5145,5830452,119
210269,11,8,8100313,2021,2,18,5,3,0,4,1,0,0,1,1,0,0,0,801372,5603,5824763,708
210268,11,7,7601544,2021,1,16,2,3,2,6,0,0,1,0,0,0,0,0,799901,2985,5813192,173
