OBJECTID,LAND,BEZ,LOR,STRASSE,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
208091,11,4,4030726,Droysenstra�e,4500936,2018,12,20,4,2,5,3,2,1,1,0,0,0,0,0,791958,137,5825264,573
208092,11,4,4031032,Halensee,4500938,2018,12,12,2,3,5,2,0,1,1,0,0,0,0,0,791580,9291,5825003,318
208093,11,9,9030901,Dorf Altglienicke,9300921,2018,12,10,4,3,1,5,0,0,1,0,0,0,0,0,809648,363,5816775,493
208094,11,8,8010405,Hertzbergplatz,8100418,2018,12,10,2,3,1,5,0,1,1,0,0,0,0,0,801659,4792,5823780,753
208095,11,4,4020313,K�nigin-Elisabeth-Stra�e,4200311,2018,12,9,4,2,5,2,0,0,1,0,1,0,0,0,790378,2291,5827210,898
208096,11,4,4030519,Kaiserin-Augusta-Allee,4300518,2018,12,10,2,3,2,7,0,0,1,0,0,0,0,0,792064,9363,5828109,802
208097,11,2,2010102,Mehringplatz,2100103,2018,12,18,4,3,0,1,2,0,0,0,1,0,0,1,798492,7005,5825554,576
208098,11,1,1011303,Alexanderplatzviertel,1100310,2018,12,10,2,3,5,3,0,1,0,0,0,0,1,0,799776,8236,5828663,12
208099,11,1,1022206,L�neburger Stra�e                                                                                   ,1200628,2018,12,9,4,3,5,2,0,1,1,0,0,0,0,0,795523,5703,5828187,403
208100,11,9,9020601,Schnellerstra�e                                                                                     ,9200613,2018,12,16,6,3,6,2,2,0,1,1,0,0,0,1,806878,6708,5821176,4
208101,11,7,7040403,Manteuffelstra�e                                                                                    ,7400824,2018,12,18,4,3,0,2,2,0,1,0,1,0,0,0,797850,3678,5822205,611
208102,11,1,1011203,Unter den Linden S�d,1100206,2018,12,9,2,3,6,7,0,0,0,1,1,0,0,1,797788,5792,5827276,67
208103,11,8,8010406,Treptower Stra�e Nord,8100419,2018,12,9,4,3,1,5,0,1,1,0,0,0,0,0,802375,734,5824018,948
208104,11,1,1011202,Unter den Linden Nord,1100206,2018,12,18,4,3,3,2,2,0,1,0,0,0,1,0,797187,5304,5827529,606
208105,11,3,3040614,Pankow Zentrum                                                                                      ,3400723,2018,12,15,6,3,5,2,2,1,1,0,0,0,0,1,798731,947,5833692,834
208106,11,4,4020311,Reichsstra�e,4200309,2018,12,9,4,3,2,6,0,0,1,0,0,0,0,0,788985,2232,5827054,51
208107,11,1,1011305,Heine-Viertel West,1100312,2018,12,9,2,3,1,5,0,1,0,0,0,1,0,0,799236,3099,5827183,321
