OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
191994,11,5,5020523,Maulbeerallee,2019,2,15,3,3,5,3,0,1,1,0,0,0,0,0,782906,1268,5827421,529
191995,11,4,4051446,Preu�enpark,2019,2,17,3,2,5,2,2,1,1,0,0,0,0,0,792948,9667,5825319,57
191996,11,12,12214125,Waldidyll/Flughafensee,2019,2,10,3,3,2,2,0,1,0,0,0,0,0,0,790812,6528,5834331,83
191997,11,1,1011303,Alexanderplatzviertel,2019,2,14,6,3,5,2,0,1,0,0,0,0,1,0,799110,8712,5828465,981
191998,11,6,6020303,Lankwitz Kirche,2019,2,10,3,3,3,6,0,0,1,0,0,0,1,0,795229,3258,5818685,552
191999,11,5,5020626,Adamstra�e,2019,2,7,3,3,2,7,0,0,1,0,0,0,0,0,784649,6321,5827269,114
192000,11,1,1011101,St�lerstra�e,2019,2,13,5,3,2,6,0,0,1,0,0,0,0,0,794636,3248,5826163,135
192001,11,2,2040701,Andreasviertel,2019,2,7,3,3,5,3,1,1,1,0,0,0,0,0,800365,273,5827188,8
192002,11,2,2030402,Wrangelkiez,2019,2,17,2,3,2,6,2,0,1,0,0,0,0,0,801647,9232,5825899,153
192003,11,2,2030402,Wrangelkiez,2019,2,17,2,3,2,6,2,0,1,0,0,0,0,0,801647,9232,5825899,153
192004,11,11,11030721,R�digerstra�e,2019,2,9,5,3,4,6,0,0,1,0,0,0,0,0,803446,2207,5828618,434
192005,11,4,4030931,Breitscheidplatz,2019,2,15,2,3,2,6,0,0,1,0,0,0,0,0,793931,9632,5826032,839
192006,11,3,3020209,Niedersch�nhausen,2019,2,9,2,3,5,2,0,0,1,0,0,1,0,1,797872,651,5836024,615
192007,11,9,9020802,K�llnische Vorstadt,2019,2,8,2,3,2,2,0,0,1,0,0,0,0,1,809791,1161,5820493,661
192008,11,1,1011302,Oranienburger Stra�e,2019,2,9,5,3,5,2,0,1,1,0,0,0,0,0,799054,3076,5828993,34
192009,11,9,9031202,Schm�ckwitz/Rauchfangswerder,2019,2,11,2,3,2,6,0,0,1,0,0,0,0,1,816108,7049,5813266,556
