OBJECTID,LAND,BEZ,LOR,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
142845,11,2,2040701,2400521,2020,9,17,5,3,5,2,0,1,1,0,0,0,0,0,800426,785,5827979,952
142846,11,4,4020311,4200310,2020,9,12,2,3,0,6,0,0,0,0,1,0,0,0,789826,3133,5826356,558
142847,11,1,1044202,1401046,2020,9,9,3,3,0,6,0,0,1,0,1,0,0,0,794802,5616,5830133,397
142848,11,4,4030931,4501042,2020,9,19,7,2,5,3,1,0,1,0,0,0,1,0,794359,3542,5825930,658
142849,11,3,3020210,3200207,2020,9,10,2,3,5,3,0,0,1,0,0,0,0,0,798504,8782,5835382,317
142850,11,3,3071536,3701554,2020,9,9,3,3,5,2,0,1,1,0,0,0,0,0,799150,6733,5829207,831
142851,11,9,9020701,9200715,2020,9,15,7,2,4,6,0,1,0,0,0,0,0,0,809422,2344,5818407,304
142852,11,9,9041402,9401432,2020,9,15,3,3,2,2,0,0,1,0,0,0,0,0,812135,2022,5820282,921
142853,11,7,7010102,7100102,2020,9,17,6,3,5,2,0,0,1,0,0,0,0,0,794956,314,5825652,33
142854,11,12,12214527,12200515,2020,9,15,2,3,2,6,0,0,1,0,0,0,0,0,789982,1584,5835524,75
142855,11,9,9041501,9401534,2020,9,15,5,3,5,3,0,1,1,0,0,0,0,0,810884,7756,5820660,768
142856,11,6,6040806,6400840,2020,9,8,3,3,5,2,0,0,1,0,0,0,0,0,789033,3947,5819696,37
142857,11,4,4030518,4300517,2020,9,17,5,3,5,2,0,0,1,0,0,0,0,0,791390,5075,5828585,827
142858,11,6,6010103,6100103,2020,9,22,1,2,2,6,2,0,1,0,0,0,1,0,793043,8271,5821515,429
142859,11,1,1022206,1200628,2020,9,9,5,3,6,4,0,1,0,1,0,0,0,0,796458,2156,5828234,71
142860,11,1,1011203,1100206,2020,9,9,3,3,2,6,0,1,1,0,0,0,0,0,797610,207,5827024,814
142861,11,1,1011304,1100311,2020,9,15,7,3,2,1,0,1,0,0,0,0,0,0,799920,1231,5827786,647
142862,11,4,4030931,4501042,2020,9,8,5,3,5,7,0,1,1,0,0,0,0,0,794536,5419,5825955,801
142863,11,1,1011305,1100312,2020,9,10,6,2,3,6,0,1,1,0,0,0,0,0,799495,1755,5827072,79
142864,11,1,1044101,1400937,2020,9,10,2,3,2,2,0,0,1,0,0,0,1,0,793800,2589,5832174,58
142865,11,10,10030724,10300731,2020,9,12,5,3,3,6,0,0,1,0,0,0,1,0,809633,4775,5829724,342
142866,11,10,10020416,10200423,2020,9,15,6,3,2,2,0,0,1,0,0,0,0,0,813237,2923,5831071,23
142867,11,10,10010204,10100206,2020,9,14,2,3,6,4,0,0,1,1,0,0,0,0,809116,4213,5833030,371
142868,11,2,2050601,2500726,2020,9,13,5,3,6,2,0,0,1,1,0,0,0,0,801856,1843,5829013,45
142869,11,5,5020523,5200528,2020,9,8,3,3,5,3,0,0,1,0,0,0,0,0,782365,438,5827036,95
142870,11,5,5010209,5100211,2020,9,17,5,3,2,6,0,1,1,0,0,0,0,0,783189,5158,5829264,876
142871,11,6,6030503,6300526,2020,9,17,1,3,5,3,0,0,1,0,1,0,0,0,789327,7758,5817264,193
142872,11,1,1022207,1200629,2020,9,10,3,3,5,2,0,0,1,0,0,0,0,0,794558,3019,5827508,5
142873,11,4,4030519,4300518,2020,9,14,7,3,5,2,0,1,1,0,0,0,0,0,792061,5836,5828220,647
142874,11,1,1044101,1400938,2020,9,8,3,3,6,6,0,1,0,1,0,0,0,0,794414,658,5831432,771
142875,11,8,8010117,8100102,2020,9,10,6,3,3,6,0,1,1,0,0,0,0,0,800556,1204,5823312,61
142876,11,5,5010314,5100316,2020,9,6,3,3,0,2,0,0,1,0,0,0,1,0,784838,9207,5829255,827
142877,11,9,9020701,9200715,2020,9,8,2,3,5,2,0,1,1,0,0,0,0,0,809065,709,5818189,187
142878,11,2,2050602,2500729,2020,9,2,3,2,0,1,2,0,0,0,0,0,1,0,803425,398,5827731,751
142879,11,4,4041342,4400833,2020,9,12,1,3,6,7,0,0,1,1,0,0,0,0,792552,5012,5822518,755
142880,11,2,2050803,2500835,2020,9,8,5,3,8,1,0,0,0,0,1,0,0,0,802458,9287,5826252,756
142881,11,9,9051702,9501737,2020,9,18,3,3,5,2,0,1,1,0,0,0,0,0,814202,9957,5820801,79
142882,11,7,7010104,7100205,2020,9,20,3,2,3,6,1,0,1,0,1,0,0,0,796456,158,5824885,664
142883,11,12,12214424,12200309,2020,9,13,1,3,3,6,0,0,1,0,0,0,1,0,792746,36,5832760,528
142884,11,12,12103218,12100205,2020,9,12,3,3,0,1,0,0,0,0,1,0,0,0,794338,7404,5835493,853
142885,11,9,9020802,9200819,2020,9,16,6,3,5,2,0,1,1,0,0,0,0,0,810528,8394,5820028,233
142886,11,2,2040701,2400623,2020,9,18,2,3,5,3,0,0,1,0,0,0,1,0,800900,4209,5826865,323
142887,11,11,11030721,11300722,2020,9,3,6,3,0,1,2,1,0,0,0,0,0,0,803859,69,5828653,103
142888,11,4,4030620,4300619,2020,9,20,3,3,6,4,1,1,0,1,0,0,0,0,792204,8161,5827279,404
142889,11,1,1022106,1200522,2020,9,10,2,3,5,3,0,1,1,0,0,0,0,0,793716,7358,5827978,824
142890,11,2,2040701,2400623,2020,9,18,3,3,0,1,0,0,0,0,1,0,0,0,800438,7459,5827523,992
142891,11,1,1022105,1200521,2020,9,0,1,3,0,5,2,0,1,0,0,0,1,0,793712,5516,5828446,994
142892,11,1,1044201,1401045,2020,9,16,3,3,5,3,0,0,1,0,0,0,0,0,796690,7111,5831663,72
