,year,month,weekday,accident_category,accident_scenario,number_of_accidents,mean_distance_km,mean_location_density
88,2018,2,1,3,bike_only,2,6.0464716424973295,9.0
89,2018,2,1,3,car_only,28,8.023245008374499,8.571428571428571
90,2018,2,1,3,other,1,5.84513341289643,4.0
91,2018,2,1,3,ped_car,6,9.484714496158409,5.0
92,2018,2,1,3,ped_only,1,4.28973123334185,4.0
93,2018,2,2,1,ped_only,2,5.90710265791564,10.5
94,2018,2,2,2,bike_car,6,7.442276365260768,2.8333333333333335
95,2018,2,2,2,bike_only,1,9.76420765937532,3.0
96,2018,2,2,2,car_only,9,9.87601044868212,6.888888888888889
97,2018,2,2,2,other,2,6.64403674446146,2.5
98,2018,2,2,2,ped_car,4,11.808108828739798,14.5
99,2018,2,2,2,ped_only,1,6.22253293225501,6.0
100,2018,2,2,3,bike_car,26,8.253198901526957,6.038461538461538
101,2018,2,2,3,bike_only,5,4.871661625529912,5.2
102,2018,2,2,3,bike_ped,2,5.495399222855994,9.0
103,2018,2,2,3,car_only,58,8.063297220767804,8.448275862068966
104,2018,2,2,3,ped_car,14,8.23705535869341,11.0
105,2018,2,2,3,ped_only,2,10.539784594979535,3.0
106,2018,2,3,2,bike_car,4,5.8774999626068976,14.75
107,2018,2,3,2,car_only,5,9.974213099715127,8.0
108,2018,2,3,2,ped_car,7,10.474600718650091,5.714285714285714
109,2018,2,3,2,ped_only,1,13.5672371873967,9.0
110,2018,2,3,3,bike_car,21,6.423026323529092,11.714285714285714
111,2018,2,3,3,bike_only,3,4.320559634741326,9.0
112,2018,2,3,3,bike_ped,2,8.139067394657314,1.0
113,2018,2,3,3,car_only,47,7.482594643729092,8.957446808510639
114,2018,2,3,3,other,2,6.300563528883755,5.0
115,2018,2,3,3,ped_car,14,8.040785615038013,7.714285714285714
116,2018,2,3,3,ped_only,3,6.534790363241236,4.0
117,2018,2,4,2,bike_car,4,7.283668399837945,8.75
118,2018,2,4,2,bike_ped,1,4.25426883890583,48.0
119,2018,2,4,2,car_only,8,8.7747262901877,7.625
120,2018,2,4,2,other,2,8.422533646001504,2.5
121,2018,2,4,2,ped_car,5,7.770619880755833,3.6
122,2018,2,4,2,ped_only,2,9.533022996587086,7.0
123,2018,2,4,3,bike_car,16,5.344003886971278,10.5
124,2018,2,4,3,bike_only,7,4.643340733426298,5.857142857142857
125,2018,2,4,3,bike_ped,1,1.22882576801855,2.0
126,2018,2,4,3,car_only,60,7.449518695755519,9.566666666666666
127,2018,2,4,3,other,3,9.983373663525198,19.0
128,2018,2,4,3,ped_car,16,8.401083709636511,10.5
129,2018,2,4,3,ped_only,1,4.21489820065491,8.0
130,2018,2,5,2,bike_car,4,7.683876939198777,9.25
131,2018,2,5,2,bike_only,2,7.435202798751145,1.5
132,2018,2,5,2,bike_ped,1,11.8969759282943,8.0
133,2018,2,5,2,bike_ped_car,1,1.7524245934654,6.0
134,2018,2,5,2,car_only,8,7.544585555377874,10.375
135,2018,2,5,2,other,2,9.384473345705409,3.5
136,2018,2,5,2,ped_car,2,4.503489045781006,8.0
137,2018,2,5,2,ped_only,1,8.50253156684252,11.0
138,2018,2,5,3,bike_car,27,6.297491944418295,8.851851851851851
139,2018,2,5,3,bike_only,7,3.758786395057654,7.0
140,2018,2,5,3,bike_ped,1,5.14084162446284,1.0
141,2018,2,5,3,car_only,45,7.916219006521226,9.0
142,2018,2,5,3,other,1,2.19286969166648,1.0
143,2018,2,5,3,ped_car,17,7.470003912856923,6.411764705882353
144,2018,2,5,3,ped_only,3,4.153876232084463,16.0
145,2018,2,6,2,bike_only,2,1.598714312266185,2.5
146,2018,2,6,2,bike_ped,1,7.89418459461811,10.0
147,2018,2,6,2,car_only,5,5.98950157878331,15.0
148,2018,2,6,2,ped_car,7,10.147948867842075,7.285714285714286
149,2018,2,6,3,bike_car,26,5.783373404859258,8.692307692307692
150,2018,2,6,3,bike_only,8,7.0694527515620305,4.625
151,2018,2,6,3,car_only,50,8.530995239068531,7.44
152,2018,2,6,3,other,3,6.41921814297768,1.6666666666666667
153,2018,2,6,3,ped_car,14,8.5696262312748,7.5
154,2018,2,6,3,ped_only,2,4.861601248151865,7.5
155,2018,2,7,1,ped_car,1,6.76726122272117,12.0
156,2018,2,7,2,bike_car,2,5.438465891051409,3.5
157,2018,2,7,2,bike_only,1,7.41721031023429,5.0
158,2018,2,7,2,car_only,4,6.557898827974457,12.75
159,2018,2,7,2,ped_car,3,10.475807027736074,5.333333333333333
160,2018,2,7,3,bike_car,7,5.509644808914579,4.714285714285714
161,2018,2,7,3,bike_only,2,6.998006731980745,8.0
162,2018,2,7,3,bike_ped,2,4.32878895694306,5.0
163,2018,2,7,3,car_only,37,8.392081377786194,7.162162162162162
164,2018,2,7,3,other,3,8.364019186573481,10.0
165,2018,2,7,3,ped_car,8,4.986820172245379,6.75
166,2018,2,7,3,ped_only,1,3.97629340923982,13.0
167,2018,3,1,2,bike_car,1,13.0674374232745,2.0
168,2018,3,1,2,bike_only,1,13.0023211203049,1.0
169,2018,3,1,2,car_only,9,11.741150377596096,8.222222222222221
170,2018,3,1,3,bike_car,13,9.125499925541114,5.615384615384615
171,2018,3,1,3,bike_only,3,2.3858922426947036,18.333333333333332
172,2018,3,1,3,bike_ped,1,17.9395572884552,2.0
173,2018,3,1,3,car_only,30,8.601450641783604,11.1
174,2018,3,1,3,other,1,11.6513523218226,5.0
175,2018,3,1,3,ped_car,10,5.694142257478977,11.9
176,2018,3,1,3,ped_only,1,4.42109493386248,4.0
177,2018,3,2,1,ped_car,1,17.4499521369667,1.0
178,2018,3,2,2,bike_car,1,3.47220580281046,10.0
179,2018,3,2,2,car_only,6,9.379364730491911,4.5
180,2018,3,2,2,ped_car,2,5.310837227508125,8.5
181,2018,3,2,2,ped_only,2,8.303222896057939,3.5
182,2018,3,2,3,bike_car,28,5.7665520313487235,7.25
183,2018,3,2,3,bike_only,6,8.745885787562797,12.5
184,2018,3,2,3,bike_ped,3,10.07867910139672,6.0
185,2018,3,2,3,car_only,65,7.922542634561324,9.015384615384615
186,2018,3,2,3,other,3,7.082533794689637,7.666666666666667
187,2018,3,2,3,ped_car,22,8.37369136370263,6.863636363636363
188,2018,3,2,3,ped_only,5,8.262753677980609,4.6
189,2018,3,3,2,bike_car,2,5.445702743225685,19.5
190,2018,3,3,2,bike_only,2,8.598968907302385,7.5
191,2018,3,3,2,bike_ped,2,13.27453420336715,4.0
192,2018,3,3,2,car_only,7,7.520684932387046,5.0
193,2018,3,3,2,ped_car,5,10.274678700341946,3.2
194,2018,3,3,2,ped_only,1,3.28196077903588,3.0
195,2018,3,3,3,bike_car,23,6.710357321915953,7.913043478260869
196,2018,3,3,3,bike_only,4,5.324669355653918,4.5
197,2018,3,3,3,bike_ped,4,3.767221706807245,6.75
198,2018,3,3,3,car_only,44,8.485188470166072,10.113636363636363
199,2018,3,3,3,other,2,6.73556846705961,16.5
200,2018,3,3,3,ped_car,14,6.710176773514582,9.357142857142858
201,2018,3,3,3,ped_only,2,11.742435052558125,2.0
202,2018,3,4,2,bike_car,4,13.674985261052843,10.75
203,2018,3,4,2,bike_ped,1,9.02736646251151,10.0
204,2018,3,4,2,car_only,9,7.19137101491227,4.666666666666667
205,2018,3,4,2,other,1,3.38193390294916,31.0
